                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3504,                 2.3948,                 2.7224,                 2.0115,                 5.0139,                 2.6162,                0.00053,                0.15789,                0.07029,                0.02803,                 3.2142,                 4.4125,                 4.0677,                 3.2968,                 10.313,                 4.2783,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.2774,                 2.4634,                 2.6825,                 1.7975,                 4.9712,                 2.2751,                0.00053,                0.15789,                0.03529,                0.01593,                 3.0911,                 4.6837,                 3.8344,                 3.2453,                 10.793,                 4.0841,              0.0016733,              0.0016733,              0.0016733
                     36,                 2.4299,                 2.5109,                 2.6172,                 2.1295,                 4.6748,                 2.4312,                0.00053,                0.15789,                0.01527,                0.00563,                 2.5616,                 4.5553,                 3.2834,                 2.5423,                 9.8184,                 3.3227,              0.0016634,              0.0016634,              0.0016634
                     37,                 2.2629,                 2.3043,                 2.5544,                 1.9093,                 4.6845,                 2.2985,                0.00053,                0.15789,                0.03527,                0.01643,                 2.5523,                 4.3346,                 3.3868,                 2.5617,                 9.5572,                 3.2573,              0.0016535,              0.0016535,              0.0016535
                     38,                 2.2151,                 2.6067,                 2.5427,                 1.9521,                 5.1946,                 2.3176,                0.25628,                0.10526,                0.04204,                0.01479,                  2.333,                 4.2582,                 3.3061,                 2.0378,                 9.1287,                 3.4176,              0.0016436,              0.0016436,              0.0016436
                     39,                 2.3291,                 2.0847,                  2.614,                  1.984,                 4.2267,                 2.3754,                0.10401,                0.10526,                0.07525,                0.02951,                 2.3282,                  4.504,                  3.314,                 1.8756,                 12.717,                 3.2934,              0.0016337,              0.0016337,              0.0016337
                     40,                 2.2883,                 2.1134,                 2.5722,                 1.9654,                 4.1536,                 2.3245,                0.05398,                0.10526,                0.07254,                0.03896,                   2.72,                 5.9525,                  7.451,                 2.5478,                 22.205,                 6.5203,              0.0016238,              0.0016238,              0.0016238
                     41,                 2.1371,                 2.1061,                 2.4398,                 1.8197,                 4.0384,                 2.1859,                0.10709,                0.10526,                0.06688,                 0.0334,                 2.8435,                  4.279,                 4.7276,                 2.8377,                 16.568,                 6.8966,              0.0016139,              0.0016139,              0.0016139
                     42,                 2.0762,                  2.046,                 2.4173,                 1.8542,                 3.9612,                  2.226,                0.04012,                0.10526,                0.06701,                0.01707,                 3.0799,                 4.2809,                 4.6817,                 3.1044,                 38.682,                 12.446,               0.001604,               0.001604,               0.001604
                     43,                 2.2064,                 2.0959,                 2.3623,                 1.9554,                 3.7363,                 2.1606,                0.01809,                0.10526,                 0.0724,                0.02241,                 3.0769,                 4.5878,                 4.1582,                 3.0614,                 88.581,                 10.963,              0.0015941,              0.0015941,              0.0015941
                     44,                 2.3833,                 2.3132,                 2.6059,                 2.1695,                   4.17,                 2.4713,                      1,                0.05263,                0.06256,                0.01834,                 3.2498,                 6.3498,                 7.9527,                  3.179,                 152.11,                 10.959,              0.0015842,              0.0015842,              0.0015842
                     45,                 2.2929,                 1.8594,                 2.4107,                 1.9392,                 3.1616,                 2.2242,                0.03755,                0.10526,                0.09054,                0.03223,                 3.0942,                  7.288,                 9.5672,                 2.9597,                 39.637,                 11.412,              0.0015743,              0.0015743,              0.0015743
                     46,                 2.3519,                 1.9572,                 2.5942,                 2.1113,                 3.5109,                 2.3666,                0.09759,                0.10526,                0.07526,                0.02315,                 3.0233,                 8.2506,                 5.5956,                 2.8698,                 15.358,                 4.8254,              0.0015644,              0.0015644,              0.0015644
                     47,                 2.0576,                 1.9898,                 2.2472,                 1.7949,                 3.2862,                 2.0497,                0.12353,                0.10526,                0.07752,                0.02653,                  2.999,                 5.4609,                 5.9605,                 2.8943,                 12.116,                 3.9731,              0.0015545,              0.0015545,              0.0015545
                     48,                 2.2285,                 1.9289,                 2.4664,                 2.1388,                 3.4595,                 2.4354,                0.11427,                0.10526,                0.07772,                0.02431,                 2.6694,                 3.7592,                  4.687,                 2.2987,                 13.625,                 7.7119,              0.0015446,              0.0015446,              0.0015446
                     49,                 2.0432,                 1.7926,                 2.3583,                 1.8958,                 3.0108,                 2.2435,                0.24679,                0.10526,                0.04496,                0.01618,                 2.5442,                 3.3103,                 4.0655,                 2.0361,                 10.363,                 5.3847,              0.0015347,              0.0015347,              0.0015347
                     50,                 2.2071,                 1.9503,                 2.5466,                 2.0504,                 3.5776,                 2.4738,                0.35229,                0.21053,                0.22728,                0.10812,                 2.4891,                  2.697,                 3.9076,                 1.9754,                 4.7694,                 3.5979,              0.0015248,              0.0015248,              0.0015248
                     51,                 2.0814,                 1.6838,                 2.4252,                 1.8727,                 3.0907,                 2.3127,                 0.4535,                0.26316,                0.40114,                0.20011,                 2.5075,                 2.6581,                 3.5574,                 2.0986,                 4.6309,                 2.9831,              0.0015149,              0.0015149,              0.0015149
                     52,                 2.1351,                 1.6941,                 2.4306,                 1.9747,                 2.9438,                 2.4234,                0.00263,                0.78947,                0.29414,                0.12158,                  2.571,                 2.8581,                 3.2578,                 2.4872,                 4.9974,                 3.1216,               0.001505,               0.001505,               0.001505
